"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1017.4","1021.0","1026.8","2017-01-22 09:28","1006.8","2017-01-07 14:39","18.3","27.3","2017-01-04 14:43","12.2","2017-01-20 15:19","13.5","3.0","50","15.9","40","2017-01-11 15:53","21.8","74.1","11","0.7","2017-01-20 02:03","2.0","2017-01-14 07:30","8.5","2017-01-14 00:00","74","53.3","79.2","246.72","...","...","...","7.6"
"02","1017.9","1021.6","1028.3","2017-02-14 09:05","1008.9","2017-02-04 14:54","17.0","27.9","2017-02-19 13:53","10.4","2017-02-10 03:30","11.0","2.9","50","17.1","50","2017-02-06 15:47","123.7","86.3","8","5.2","2017-02-24 02:01","9.5","2017-02-22 12:07","44.2","2017-02-24 00:00","69","61.3","70.0","249.12","...","...","...","7.7"
"03","1014.0","1017.6","1022.1","2017-03-26 23:26","1006.5","2017-03-06 01:26","18.2","29.3","2017-03-30 12:46","12.0","2017-03-07 19:03","13.5","2.2","50","15.3","50","2017-03-21 12:29","182.7","156.9","18","4.2","2017-03-06 01:35","7.9","2017-03-06 00:57","32.5","2017-03-10 00:00","75","70.3","60.8","270.10","...","...","...","8.5"
"04","1010.1","1013.7","1021.4","2017-04-02 09:32","998.9","2017-04-10 15:01","22.5","35.5","2017-04-10 13:28","11.5","2017-04-02 04:53","15.6","1.9","50","13.9","50","2017-04-11 21:19","121.5","107.5","13","6.0","2017-04-19 12:30","12.5","2017-04-21 19:13","27.5","2017-04-21 00:00","66","78.0","105.6","395.06","...","...","...","7.3"
"05","1007.3","1010.8","1014.1","2017-05-06 22:22","999.1","2017-05-31 15:22","25.6","35.0","2017-05-11 11:36","19.7","2017-05-27 15:18","20.4","2.5","50","14.5","60","2017-05-07 16:16","135.5","92.9","16","8.0","2017-05-15 14:55","24.0","2017-05-15 14:45","42.0","2017-05-15 00:00","73","89.7","83.8","438.10","...","...","...","8.5"
"06","1004.0","1007.5","1008.7","2017-06-28 22:28","995.8","2017-06-02 01:43","28.0","35.6","2017-06-28 13:54","22.0","2017-06-15 07:58","22.9","1.5","160","13.6","240","2017-06-01 14:29","649.7","156.0","16","20.5","2017-06-02 11:12","84.0","2017-06-02 11:12","163.0","2017-06-02 00:00","75","75.7","83.8","387.80","...","...","...","8.6"
"07","1004.4","1007.8","1010.6","2017-07-18 06:41","975.9","2017-07-29 21:27","30.3","38.0","2017-07-19 12:04","24.2","2017-07-03 14:44","22.4","1.8","160","41.9","60","2017-07-29 22:05","206.6","54.6","12","19.5","2017-07-03 14:30","30.4","2017-07-09 15:03","38.2","2017-07-29 00:00","64","106.2","165.3","572.92","...","...","...","6.8"
"08","1003.3","1006.7","1010.3","2017-08-27 21:30","995.0","2017-08-22 03:50","31.1","38.5","2017-08-07 13:57","25.4","2017-08-02 15:26","23.4","2.2","50","16.0","70","2017-08-22 08:52","166.2","19.8","11","20.5","2017-08-02 14:52","85.5","2017-08-02 14:21","101.0","2017-08-02 00:00","64","124.4","208.3","467.62","...","...","...","6.4"
"09","1006.0","1009.5","1012.7","2017-09-29 21:46","999.9","2017-09-06 13:54","29.6","38.6","2017-09-27 13:18","23.2","2017-09-18 05:17","22.1","2.0","50","15.9","50","2017-09-12 15:30","175.6","77.8","9","8.4","2017-09-08 14:20","21.4","2017-09-08 13:48","52.5","2017-09-03 00:00","65","121.2","167.3","440.33","...","...","...","6.7"
"10","1010.2","1013.7","1022.5","2017-10-30 07:58","999.7","2017-10-14 15:43","25.6","36.8","2017-10-01 12:23","18.7","2017-10-30 21:50","20.1","2.8","50","17.9","50","2017-10-13 18:55","368.6","156.4","22","12.8","2017-10-12 10:33","34.7","2017-10-12 10:25","118.2","2017-10-12 00:00","73","69.8","101.0","293.23","...","...","...","7.9"
"11","1013.7","1017.3","1022.8","2017-11-24 08:56","1004.8","2017-11-17 13:36","22.5","32.4","2017-11-07 13:23","16.2","2017-11-23 05:04","18.1","2.8","50","14.2","50","2017-11-27 11:06","120.9","126.2","19","3.5","2017-11-03 00:38","11.5","2017-11-13 03:35","29.5","2017-11-13 00:00","77","58.5","55.6","193.87","...","...","...","8.6"
"12","1017.9","1021.5","1027.1","2017-12-20 08:59","1009.7","2017-12-23 13:56","17.8","26.4","2017-12-23 13:18","12.7","2017-12-10 04:41","13.0","3.1","50","15.9","60","2017-12-21 12:04","66.9","176.0","18","1.1","2017-12-02 06:36","3.9","2017-12-07 12:40","22.1","2017-12-07 00:00","74","45.4","56.4","179.95","3","6","2017-12-23 12:00","8.3"
