"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1018.3","1020.6","1024.7","2021-01-01 08:27","1006.7","2021-01-22 14:14","16.6","23.8","2021-01-22 10:18","8.9","2021-01-13 05:25","12.8","3.6","40","21.6","120","2021-01-17 11:00","54.5","109.4","14","2.5","2021-01-19 04:38","5.0","2021-01-19 04:19","10.5","2021-01-11 00:00","79","60.0","70.8","251.77","...","...","...","8.2"
"02","1015.6","1017.8","1025.8","2021-02-18 21:38","1004.9","2021-02-11 13:46","19.5","26.2","2021-02-25 12:56","12.1","2021-02-20 05:58","15.4","3.3","240","19.2","40","2021-02-17 09:58","35.0","69.4","10","2.0","2021-02-10 17:52","5.0","2021-02-11 05:56","13.0","2021-02-11 00:00","78","74.8","114.5","352.03","...","...","...","6.9"
"03","1014.1","1016.4","1023.9","2021-03-22 21:20","1003.0","2021-03-30 04:00","21.5","28.7","2021-03-28 14:56","14.4","2021-03-23 05:05","18.7","3.1","40","19.5","50","2021-03-02 09:25","23.5","53.9","11","2.5","2021-03-23 03:49","4.5","2021-03-23 03:49","5.0","2021-03-23 00:00","84","84.3","103.6","376.21","...","...","...","8.1"
"04","1012.4","1014.6","1019.3","2021-04-11 07:53","1003.1","2021-04-23 02:37","22.7","29.7","2021-04-02 12:14","17.2","2021-04-06 04:56","19.3","3.0","40","15.4","30","2021-04-04 13:35","99.5","75.6","11","5.5","2021-04-13 18:21","14.0","2021-04-13 18:21","20.5","2021-04-25 00:00","82","77.2","82.7","397.60","...","...","...","8.4"
"05","1008.1","1010.3","1015.8","2021-05-05 22:00","1001.0","2021-05-30 14:21","26.9","32.4","2021-05-27 14:37","19.3","2021-05-02 05:33","23.9","3.0","180","17.1","30","2021-05-05 13:18","127.0","41.6","6","8.0","2021-05-24 19:34","42.0","2021-05-24 19:05","81.5","2021-05-24 00:00","84","152.3","199.5","664.24","...","...","...","6.6"
"06","1004.0","1006.2","1010.4","2021-06-08 10:56","997.7","2021-06-20 15:35","28.0","33.7","2021-06-16 13:28","23.8","2021-06-06 04:06","24.9","2.6","240","14.9","200","2021-06-03 16:17","113.0","64.7","9","8.5","2021-06-22 19:12","25.5","2021-06-22 18:27","45.5","2021-06-22 00:00","84","141.2","188.9","615.33","...","...","...","6.7"
"07","1002.7","1004.9","1011.9","2021-07-10 22:40","986.1","2021-07-24 03:24","29.2","35.4","2021-07-21 12:44","24.7","2021-07-06 05:28","24.7","3.0","240","18.8","50","2021-07-22 12:25","18.5","19.1","5","2.5","2021-07-31 13:49","3.5","2021-07-06 06:45","7.0","2021-07-06 00:00","77","194.5","286.8","767.86","...","...","...","4.7"
"08","1005.3","1007.5","1012.4","2021-08-16 09:02","993.4","2021-08-07 03:19","28.2","33.0","2021-08-26 13:16","23.9","2021-08-20 05:22","24.8","2.6","240","12.7","170","2021-08-23 14:38","72.0","49.6","9","7.0","2021-08-19 17:32","15.0","2021-08-19 17:23","15.5","2021-08-30 00:00","82","153.1","205.5","636.15","...","...","...","6.1"
"09","1007.9","1010.1","1014.8","2021-09-23 20:39","987.9","2021-09-12 08:25","28.0","32.7","2021-09-01 12:35","22.9","2021-09-26 05:42","24.1","2.7","240","20.8","350","2021-09-12 06:40","230.0","45.9","8","10.5","2021-09-11 04:21","26.0","2021-09-11 04:20","91.5","2021-09-11 00:00","80","148.3","246.9","632.80","...","...","...","4.5"
