"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.8","1019.1","1028.0","2018-01-13 08:31","1009.0","2018-01-22 03:26","18.2","24.9","2018-01-18 14:10","10.4","2018-01-13 07:22","13.8","3.0","30","17.6","40","2018-01-28 22:13","96.0","105.5","16","2.5","2018-01-08 19:30","5.5","2018-01-06 20:59","27.0","2018-01-07 00:00","76","47.2","53.0","279.72","4","6","2018-01-14 13:00","8.8"
"02","1017.6","1019.9","1026.9","2018-02-12 09:41","1007.9","2018-02-28 14:37","17.6","26.6","2018-02-28 12:19","10.6","2018-02-06 01:01","13.4","3.0","50","17.5","50","2018-02-01 00:03","61.0","87.3","14","3.5","2018-02-23 15:37","9.5","2018-02-23 15:25","17.0","2018-02-07 00:00","77","56.2","64.0","147.23","4","8","2018-02-15 13:00","8.6"
"03","1014.5","1016.7","1022.8","2018-03-11 09:32","1004.3","2018-03-20 14:48","21.0","29.0","2018-03-05 12:52","11.8","2018-03-10 03:31","16.3","2.9","50","19.0","50","2018-03-05 21:24","67.5","47.5","13","6.5","2018-03-27 17:39","13.5","2018-03-27 17:32","19.5","2018-03-27 00:00","75","89.8","110.6","437.56","...","...","...","8.0"
"04","1012.8","1015.0","1022.9","2018-04-07 09:09","1004.9","2018-04-24 03:21","22.8","30.0","2018-04-30 12:22","15.0","2018-04-09 05:43","17.7","3.0","250","20.5","70","2018-04-06 21:14","31.0","50.8","11","4.5","2018-04-23 16:10","9.5","2018-04-23 15:54","11.0","2018-04-23 00:00","74","110.5","117.2","433.01","...","...","...","7.8"
"05","1009.1","1011.3","1018.2","2018-05-04 21:47","1002.7","2018-05-08 02:49","27.0","34.3","2018-05-29 12:46","19.9","2018-05-04 08:01","22.2","2.8","170","15.0","30","2018-05-03 07:46","25.7","30.6","10","3.5","2018-05-16 19:30","6.5","2018-05-16 19:30","7.5","2018-05-08 00:00","75","162.7","221.1","642.81","...","...","...","5.5"
"06","1004.0","1006.2","1011.6","2018-06-01 21:55","993.9","2018-06-15 15:12","27.8","34.1","2018-06-21 12:18","23.2","2018-06-01 18:59","23.6","2.5","260","17.6","200","2018-06-18 15:00","122.5","65.4","16","9.5","2018-06-10 15:05","28.0","2018-06-10 15:01","41.0","2018-06-10 00:00","78","123.5","161.1","529.12","...","...","...","7.0"
"07","1002.9","1005.0","1008.3","2018-07-13 22:30","990.0","2018-07-11 01:38","28.8","36.3","2018-07-10 14:14","24.7","2018-07-10 04:45","23.4","2.5","270","16.1","170","2018-07-11 15:37","36.5","26.0","9","5.0","2018-07-17 03:56","7.5","2018-07-17 03:15","13.0","2018-07-17 00:00","73","165.4","225.3","605.73","...","...","...","5.5"
"08","1001.0","1003.2","1011.6","2018-08-31 10:05","991.8","2018-08-23 14:42","28.5","35.1","2018-08-04 12:42","24.1","2018-08-30 02:27","24.2","2.5","270","17.3","200","2018-08-27 12:13","317.0","77.2","16","16.5","2018-08-14 15:46","41.5","2018-08-14 15:39","76.0","2018-08-14 00:00","79","132.7","189.7","532.38","...","...","...","6.4"
"09","1007.1","1009.3","1014.6","2018-09-17 22:30","998.9","2018-09-28 15:32","27.7","33.3","2018-09-14 11:45","21.3","2018-09-30 02:15","23.7","2.9","270","20.2","50","2018-09-24 17:42","199.0","57.2","11","15.0","2018-09-15 07:12","24.5","2018-09-15 10:06","80.5","2018-09-15 00:00","80","139.7","228.6","565.04","...","...","...","5.1"
"10","1013.3","1015.5","1019.7","2018-10-20 08:27","1003.1","2018-10-04 13:17","24.2","30.8","2018-10-05 11:52","15.8","2018-10-29 04:58","19.0","3.1","70","17.3","80","2018-10-11 13:03","133.5","102.8","13","7.0","2018-10-26 20:10","13.0","2018-10-26 20:10","25.5","2018-10-09 00:00","73","98.6","117.8","357.64","...","...","...","7.5"
"11","1015.9","1018.1","1022.3","2018-11-29 09:24","1009.4","2018-11-12 13:43","22.8","29.1","2018-11-10 13:06","17.9","2018-11-28 23:36","18.6","2.6","270","16.4","60","2018-11-22 14:10","249.5","76.8","16","17.0","2018-11-10 02:06","54.5","2018-11-10 01:45","85.5","2018-11-10 00:00","78","59.9","91.8","255.14","...","...","...","7.7"
"12","1018.1","1020.4","1027.5","2018-12-30 08:31","1007.5","2018-12-26 14:06","21.0","29.2","2018-12-04 11:55","13.3","2018-12-19 06:31","16.3","3.6","70","18.1","50","2018-12-29 08:40","49.0","60.3","13","4.5","2018-12-23 10:33","10.0","2018-12-23 09:48","15.0","2018-12-23 00:00","75","68.2","107.0","301.87","...","...","...","7.5"
