"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1017.2","1019.5","1027.8","2020-01-02 08:47","1005.4","2020-01-26 16:41","19.5","27.2","2020-01-24 12:57","11.6","2020-01-31 06:35","15.2","2.6","240","14.4","50","2020-01-12 06:23","50.7","67.2","15","6.0","2020-01-17 01:18","11.0","2020-01-17 00:31","16.0","2020-01-17 00:00","77","52.9","90.5","179.70","...","...","...","8.2"
"02","1019.5","1021.8","1028.4","2020-02-18 09:06","1010.7","2020-02-16 03:43","19.6","27.8","2020-02-26 13:58","12.1","2020-02-01 02:59","14.8","2.8","240","18.7","40","2020-02-16 13:13","18.6","49.4","9","2.0","2020-02-28 20:15","5.0","2020-02-28 19:34","5.0","2020-02-28 00:00","74","64.4","83.7","225.75","...","...","...","8.1"
"03","1013.8","1016.0","1022.6","2020-03-16 10:18","1000.6","2020-03-09 14:51","21.4","29.5","2020-03-22 12:20","15.1","2020-03-15 03:50","17.6","2.8","240","19.4","130","2020-03-27 15:54","119.1","80.3","17","15.5","2020-03-27 16:14","43.0","2020-03-27 15:27","67.0","2020-03-27 00:00","80","74.8","91.7","282.51","...","...","...","8.3"
"04","1014.4","1016.7","1019.6","2020-04-05 09:13","1006.2","2020-04-19 15:34","21.5","30.1","2020-04-18 13:05","15.0","2020-04-13 04:29","17.6","2.9","30","15.3","30","2020-04-12 07:21","57.0","92.2","14","3.0","2020-04-28 13:16","4.5","2020-04-12 03:01","8.5","2020-04-24 00:00","79","73.4","66.9","242.48","...","...","...","8.8"
"05","1007.1","1009.3","1013.8","2020-05-13 21:49","999.7","2020-05-22 14:52","26.1","32.8","2020-05-31 12:31","22.0","2020-05-01 04:27","22.8","2.3","230","17.6","180","2020-05-17 09:45","171.5","150.5","21","5.5","2020-05-09 04:49","11.0","2020-05-09 03:22","31.0","2020-05-09 00:00","83","97.6","118.2","385.97","...","...","...","7.8"
"06","1006.0","1008.2","1012.2","2020-06-14 23:19","1000.9","2020-06-30 15:57","29.3","34.7","2020-06-25 14:42","24.6","2020-06-07 18:31","24.4","2.7","240","14.6","170","2020-06-13 12:58","53.5","14.0","6","11.0","2020-06-07 14:13","25.5","2020-06-07 14:07","48.5","2020-06-07 00:00","75","184.5","254.7","643.04","...","...","...","5.2"
"07","1006.0","1008.2","1011.2","2020-07-21 22:20","999.9","2020-07-09 14:19","29.5","35.3","2020-07-16 11:56","24.6","2020-07-20 04:22","24.7","2.9","230","13.0","160","2020-07-05 13:22","105.0","32.1","10","11.0","2020-07-01 17:25","26.0","2020-07-01 17:20","28.5","2020-07-01 00:00","76","192.8","273.5","675.77","...","...","...","4.9"
"08","1005.2","1007.4","1013.7","2020-08-12 22:05","997.8","2020-08-31 17:05","29.1","34.1","2020-08-15 13:17","24.0","2020-08-22 04:27","24.1","2.8","150","14.6","180","2020-08-03 22:08","101.5","30.2","10","11.5","2020-08-22 17:11","19.5","2020-08-04 19:32","68.5","2020-08-22 00:00","75","169.4","254.6","612.52","...","...","...","5.2"
"09","1007.6","1009.8","1012.5","2020-09-18 21:02","997.9","2020-09-01 04:02","27.4","34.0","2020-09-03 10:42","22.4","2020-09-27 00:33","22.7","2.8","240","13.0","170","2020-09-17 13:21","107.0","41.0","13","15.5","2020-09-03 20:01","39.5","2020-09-03 19:47","41.0","2020-09-03 00:00","76","126.0","155.5","390.02","...","...","...","7.3"
"10","1012.2","1014.4","1019.0","2020-10-30 21:04","1004.0","2020-10-22 03:24","25.3","32.0","2020-10-12 12:33","19.3","2020-10-31 06:03","20.3","3.0","20","16.3","40","2020-10-23 12:17","259.0","97.7","15","10.5","2020-10-17 04:20","30.0","2020-10-17 04:16","69.5","2020-10-17 00:00","74","88.7","77.9","245.93","...","...","...","8.4"
"11","1016.4","1018.6","1023.6","2020-11-30 09:35","1008.2","2020-11-19 14:45","23.5","29.4","2020-11-07 10:52","18.9","2020-11-29 22:41","19.6","3.4","30","19.6","40","2020-11-03 11:04","146.0","119.1","21","5.0","2020-11-06 22:55","8.0","2020-11-24 22:33","25.5","2020-11-24 00:00","79","69.8","88.7","213.65","...","...","...","8.4"
"12","1017.1","1019.4","1026.8","2020-12-31 09:04","1008.6","2020-12-29 14:40","20.2","26.8","2020-12-10 12:02","11.4","2020-12-31 08:00","16.8","3.7","40","22.2","30","2020-12-30 03:01","84.0","104.5","18","4.5","2020-12-14 06:55","9.5","2020-12-01 02:56","24.0","2020-12-01 00:00","81","57.7","31.1","123.24","...","...","...","9.3"
