"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.9","1019.7","1023.8","2014-01-18 23:10","1009.1","2014-01-03 14:24","20.5","28.1","2014-01-03 10:38","15.6","2014-01-22 05:10","13.3","4.7","30","28.4","70","2014-01-14 18:03","1.0","1.1","2","0.5","2014-01-13 00:10","0.5","2014-01-13 00:07","0.5","2014-01-13 00:00","64","136.0","206.1","380.72","...","...","...","3.7"
"02","1013.8","1016.6","1023.1","2014-02-21 09:50","1005.2","2014-02-07 15:12","21.2","28.3","2014-02-06 13:23","15.6","2014-02-20 06:06","16.1","3.5","30","27.8","40","2014-02-04 10:07","12.5","13.5","8","1.0","2014-02-19 21:04","2.5","2014-02-19 20:39","5.5","2014-02-19 00:00","74","101.8","148.3","352.42","...","...","...","5.0"
"03","1014.5","1017.4","1021.9","2014-03-14 22:22","1005.5","2014-03-31 14:59","22.4","31.0","2014-03-28 12:58","17.0","2014-03-21 19:57","17.2","4.0","40","25.6","20","2014-03-21 05:49","61.0","5.6","2","14.0","2014-03-26 15:28","22.0","2014-03-31 18:15","37.0","2014-03-31 00:00","73","148.9","191.2","489.78","...","...","...","5.0"
"04","1010.9","1013.7","1017.3","2014-04-06 08:41","1005.6","2014-04-01 14:12","25.2","31.2","2014-04-25 13:31","20.5","2014-04-05 04:22","19.9","2.9","40","22.2","50","2014-04-04 10:25","12.0","5.3","4","3.0","2014-04-01 05:58","6.5","2014-04-01 05:58","9.0","2014-04-01 00:00","73","153.0","186.3","518.53","...","...","...","4.7"
"05","1008.4","1011.2","1014.5","2014-05-06 09:01","1003.2","2014-05-15 16:34","27.8","34.5","2014-05-24 11:36","22.3","2014-05-07 05:36","22.8","2.2","280","20.6","30","2014-05-03 18:48","40.5","8.0","9","4.5","2014-05-28 05:15","10.0","2014-05-28 21:21","17.5","2014-05-28 00:00","75","144.8","182.7","541.28","...","...","...","5.8"
"06","1003.2","1005.9","1009.2","2014-06-30 22:27","995.7","2014-06-10 15:35","28.8","33.5","2014-06-30 12:00","24.5","2014-06-14 02:40","24.9","2.2","280","24.1","20","2014-06-12 17:07","323.0","62.2","16","13.5","2014-06-14 20:45","42.5","2014-06-08 15:43","121.5","2014-06-08 00:00","80","137.6","172.1","510.69","...","...","...","6.1"
"07","1003.7","1006.4","1010.3","2014-07-26 22:04","987.7","2014-07-22 20:03","29.9","35.0","2014-07-04 13:49","25.5","2014-07-27 05:52","26.1","2.6","280","19.9","280","2014-07-23 03:31","123.0","26.4","11","16.5","2014-07-23 04:08","34.0","2014-07-23 03:19","45.0","2014-07-23 00:00","80","165.6","241.6","608.57","...","...","...","4.6"
"08","1005.8","1008.5","1012.6","2014-08-29 09:31","996.2","2014-08-01 03:29","28.7","33.8","2014-08-28 13:37","24.3","2014-08-23 05:45","25.6","2.3","280","15.2","270","2014-08-01 08:22","426.5","63.3","16","12.5","2014-08-12 08:52","30.5","2014-08-12 08:52","80.5","2014-08-08 00:00","84","131.0","197.7","522.60","...","...","...","5.4"
"09","1006.4","1009.2","1011.8","2014-09-17 20:47","985.4","2014-09-21 10:00","28.9","34.5","2014-09-06 12:11","24.2","2014-09-21 13:03","23.7","2.5","280","28.3","140","2014-09-21 04:59","427.5","37.4","10","18.0","2014-09-21 13:57","52.5","2014-09-21 13:27","260.0","2014-09-21 00:00","74","134.3","230.9","535.12","...","...","...","4.3"
