"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.9","1019.1","1016.2","2017-01-22 09:01","1000.0","2017-01-08 14:52","18.9","29.0","2017-01-28 13:33","11.6","2017-01-28 06:25","14.2","1.3","360","10.0","360","2017-01-20 15:53","4.0","12.9","2","1.0","2017-01-16 00:39","2.0","2017-01-14 07:33","3.0","2017-01-14 00:00","75","68.8","196.9","426.10","...","...","...","5.3"
"02","1009.4","1019.6","1019.1","2017-02-14 08:12","1000.7","2017-02-05 17:53","18.0","29.8","2017-02-20 13:08","9.9","2017-02-10 04:35","12.3","1.5","360","13.2","10","2017-02-09 15:02","20.8","16.9","5","4.0","2017-02-26 05:32","5.5","2017-02-26 04:52","8.0","2017-02-22 00:00","71","65.0","135.4","380.86","...","...","...","6.2"
"03","1006.1","1016.2","1014.3","2017-03-27 09:34","998.7","2017-03-13 15:17","20.2","30.2","2017-03-24 13:33","12.9","2017-03-03 05:08","14.9","1.3","350","14.0","350","2017-03-31 18:26","38.0","40.0","9","3.0","2017-03-06 04:28","4.0","2017-03-31 18:33","11.0","2017-03-26 00:00","73","82.1","146.8","471.56","...","...","...","7.3"
"04","1003.3","1013.2","1012.7","2017-04-03 08:08","995.4","2017-04-10 16:05","23.2","33.7","2017-04-10 14:02","11.9","2017-04-02 05:54","17.8","1.3","360","11.3","360","2017-04-01 11:18","98.8","58.7","10","8.5","2017-04-11 22:32","23.5","2017-04-11 22:14","27.5","2017-04-11 00:00","73","109.1","149.6","507.16","...","...","...","6.7"
"05","1000.5","1010.3","1006.9","2017-05-06 08:21","994.5","2017-05-31 16:18","26.7","34.9","2017-05-14 14:05","18.9","2017-05-01 05:21","21.7","1.2","340","8.9","20","2017-05-16 19:43","111.5","54.9","8","5.0","2017-05-30 21:42","20.0","2017-05-30 21:39","38.5","2017-05-30 00:00","75","109.8","133.1","549.03","...","...","...","7.1"
"06","998.7","1008.4","1002.6","2017-06-28 22:22","992.8","2017-06-03 17:46","27.9","35.9","2017-06-13 14:00","22.5","2017-06-19 04:31","24.1","1.4","200","20.6","210","2017-06-13 15:24","894.0","122.4","15","17.5","2017-06-12 17:10","56.0","2017-06-30 17:18","171.5","2017-06-03 00:00","81","85.2","144.4","493.20","...","...","...","7.4"
"07","998.5","1008.2","1005.0","2017-07-07 22:22","979.8","2017-07-29 21:05","28.7","35.1","2017-07-18 12:14","23.4","2017-07-08 00:31","24.2","1.2","170","20.8","160","2017-07-31 03:32","313.7","62.7","15","14.0","2017-07-31 00:39","34.5","2017-07-31 00:31","114.5","2017-07-31 00:00","78","108.2","189.9","587.10","...","...","...","6.3"
"08","997.6","1007.3","1004.7","2017-08-27 23:32","984.9","2017-08-22 03:04","29.4","35.6","2017-08-21 15:01","23.7","2017-08-28 05:14","24.8","1.4","210","10.9","250","2017-08-08 14:53","69.0","24.2","9","11.5","2017-08-03 18:27","18.0","2017-08-03 18:10","21.5","2017-08-03 00:00","77","118.7","188.0","593.02","...","...","...","5.7"
"09","999.7","1009.4","1005.2","2017-09-29 23:44","992.0","2017-09-01 13:30","29.3","35.5","2017-09-27 14:11","24.5","2017-09-11 05:27","23.8","1.1","350","11.1","10","2017-09-13 15:27","21.4","11.7","2","3.0","2017-09-02 15:44","8.0","2017-09-02 15:43","17.4","2017-09-02 00:00","74","116.7","195.3","539.14","...","...","...","5.4"
"10","1001.4","1011.2","1010.8","2017-10-30 08:26","989.8","2017-10-14 03:45","26.5","38.3","2017-10-08 14:03","17.6","2017-10-31 00:50","20.8","1.7","20","13.8","10","2017-10-21 11:45","53.5","37.0","5","1.5","2017-10-15 03:20","6.0","2017-10-15 02:42","25.5","2017-10-15 00:00","72","111.7","202.1","504.03","...","...","...","4.7"
"11","1005.2","1015.2","1012.1","2017-11-24 09:22","998.6","2017-11-17 14:53","23.3","31.3","2017-11-28 11:45","17.4","2017-11-23 05:17","19.4","1.5","350","14.1","30","2017-11-03 12:41","19.5","25.8","5","2.5","2017-11-12 04:59","9.0","2017-11-12 04:58","16.0","2017-11-12 00:00","79","79.3","143.8","388.51","...","...","...","6.7"
"12","1008.4","1018.6","1015.8","2017-12-20 09:12","1002.5","2017-12-03 15:23","18.5","27.1","2017-12-30 12:43","11.7","2017-12-22 06:40","14.0","1.7","360","14.4","10","2017-12-16 16:03","8.0","35.6","4","1.0","2017-12-07 06:00","1.5","2017-12-07 05:55","3.5","2017-12-07 00:00","76","69.8","156.7","354.94","4","6","2017-12-01 13:00","5.7"
