"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.3","1017.4","1017.1","2018-01-13 09:28","999.6","2018-01-22 13:28","17.3","27.2","2018-01-18 13:35","6.1","2018-01-13 06:27","13.7","1.4","360","12.8","10","2018-01-11 19:37","103.5","104.6","13","3.0","2018-01-08 11:37","7.5","2018-01-08 11:17","28.5","2018-01-08 00:00","81","54.8","127.4","340.76","...","...","...","6.5"
"02","1008.5","1018.7","1016.0","2018-02-12 09:16","1001.8","2018-02-21 15:23","16.5","30.5","2018-02-19 15:17","7.9","2018-02-05 07:59","12.7","1.5","350","12.1","20","2018-02-02 12:25","25.5","59.2","8","3.0","2018-02-22 14:17","5.5","2018-02-22 17:20","14.0","2018-02-22 00:00","79","64.8","117.3","351.17","5","8","2018-02-16 13:00","7.1"
"03","1005.7","1015.7","1012.8","2018-03-11 08:15","998.7","2018-03-19 15:04","20.8","31.9","2018-03-05 13:43","10.9","2018-03-10 05:53","15.3","1.2","350","11.1","360","2018-03-07 15:53","35.5","30.5","3","3.0","2018-03-20 08:54","6.5","2018-03-15 18:41","20.5","2018-03-15 00:00","73","101.3","213.0","566.57","...","...","...","4.4"
"04","1003.8","1013.7","1012.3","2018-04-07 21:23","997.1","2018-04-23 15:35","24.3","33.4","2018-04-23 11:52","14.7","2018-04-08 05:43","18.5","1.1","360","11.9","190","2018-04-23 16:52","30.5","15.8","4","6.0","2018-04-12 10:54","7.5","2018-04-12 10:39","14.0","2018-04-17 00:00","71","111.9","155.7","529.97","...","...","...","6.4"
"05","1001.0","1010.7","1007.7","2018-05-05 07:57","996.4","2018-05-25 16:18","28.3","36.3","2018-05-28 13:14","20.3","2018-05-10 05:10","23.1","1.5","240","9.8","340","2018-05-03 14:35","73.0","12.2","3","8.0","2018-05-08 04:19","18.5","2018-05-08 03:34","38.0","2018-05-09 00:00","74","151.8","218.8","658.34","...","...","...","5.4"
"06","996.0","1005.6","1002.6","2018-06-26 08:36","984.8","2018-06-14 16:24","28.7","35.8","2018-06-06 11:29","24.0","2018-06-20 00:51","23.7","1.3","350","13.4","40","2018-06-15 14:16","234.0","48.6","10","11.5","2018-06-11 07:28","38.0","2018-06-11 07:08","67.0","2018-06-20 00:00","76","122.5","158.9","560.51","...","...","...","6.9"
"07","995.0","1004.6","999.6","2018-07-27 21:51","987.4","2018-07-11 04:17","28.6","35.4","2018-07-17 11:16","23.7","2018-07-01 04:25","25.0","1.1","170","11.5","30","2018-07-10 23:55","347.0","65.7","15","13.0","2018-07-23 11:45","27.0","2018-07-29 00:27","67.5","2018-07-02 00:00","82","105.0","146.1","519.02","...","...","...","6.8"
"08","993.3","1003.0","1003.5","2018-08-31 10:11","983.9","2018-08-23 13:56","27.9","35.1","2018-08-01 14:21","23.6","2018-08-31 05:57","24.7","1.1","190","11.0","150","2018-08-24 04:17","408.5","109.7","20","13.5","2018-08-23 15:21","49.0","2018-08-13 16:10","70.5","2018-08-24 00:00","83","92.6","112.0","465.65","...","...","...","7.6"
"09","998.4","1008.1","1005.9","2018-09-18 00:14","988.0","2018-09-15 15:14","28.3","35.2","2018-09-17 13:31","22.4","2018-09-30 03:45","23.1","1.6","340","16.5","350","2018-09-28 23:48","20.0","8.6","7","4.0","2018-09-07 20:45","8.5","2018-09-07 20:20","9.0","2018-09-07 00:00","74","129.1","203.3","581.59","...","...","...","5.3"
"10","1003.9","1013.8","1010.3","2018-10-20 09:21","997.8","2018-10-05 03:04","24.9","32.6","2018-10-01 13:59","15.6","2018-10-29 06:19","18.3","1.5","350","15.9","10","2018-10-04 14:14","7.5","10.1","2","1.5","2018-10-13 03:57","3.5","2018-10-13 03:39","5.0","2018-10-13 00:00","68","134.2","221.8","564.52","...","...","...","4.0"
"11","1006.5","1016.4","1011.9","2018-11-29 09:25","1000.2","2018-11-02 03:53","23.4","31.7","2018-11-08 13:50","16.4","2018-11-24 06:09","18.5","1.1","340","10.8","350","2018-11-01 10:13","10.0","25.9","4","1.5","2018-11-28 02:48","3.0","2018-11-28 08:00","6.0","2018-11-28 00:00","75","80.2","158.2","393.85","...","...","...","5.4"
"12","1008.3","1018.3","1015.6","2018-12-31 09:12","1000.5","2018-12-26 14:04","20.8","31.7","2018-12-06 13:16","13.5","2018-12-18 06:28","15.3","1.6","350","12.0","350","2018-12-29 16:27","2.0","7.9","1","1.0","2018-12-23 18:20","1.5","2018-12-23 17:46","2.0","2018-12-23 00:00","72","89.8","191.3","420.76","...","...","...","5.0"
